Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Akkuyu,1,PWR,VVER-1200/V-509,Under construction,1114,3 Apr 2018,(2026),
Akkuyu,2,PWR,VVER-1200/V-509,Under construction,1114,8 Apr 2020,(2027),
Akkuyu,3,PWR,VVER-1200/V-509,Under construction,1114,10 Mar 2021,(2027),
Akkuyu,4,PWR,VVER-1200/V-509,Under construction,1114,21 Jul 2022,(2028),
Sinop,1,PWR,VVER-1200,Planned,1110,,,
Sinop,2,PWR,VVER-1200,Planned,1110,,,
Sinop,3,PWR,VVER-1200,Planned,1110,,,
Sinop,4,PWR,VVER-1200,Planned,1110,,,
İğneada,1,PWR,AP1000,Planned,1110,,,
İğneada,2,PWR,AP1000,Planned,1110,,,
İğneada,3,PWR,CAP1400,Planned,1500,,,
İğneada,4,PWR,CAP1400,Planned,1500,,,
